expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name
19DEC25,2025-12-19,70000.0,P,73.32,0.00083299,90232.89,657.0,0.0008,0.001,,,1.7,BTC-19DEC25-70000-P
19DEC25,2025-12-19,75000.0,C,66.12,0.17093361,90232.89,0.7,0.1695,0.172,,,0.0,BTC-19DEC25-75000-C
19DEC25,2025-12-19,75000.0,P,66.12,0.00211962,90232.89,1260.8,0.0021,0.0023,,,60.0,BTC-19DEC25-75000-P
19DEC25,2025-12-19,80000.0,C,59.11,0.11869814,90232.89,876.0,0.117,0.1195,,,0.0,BTC-19DEC25-80000-C
19DEC25,2025-12-19,80000.0,P,59.11,0.00529655,90232.89,1865.8,0.005,0.0055,,,66.7,BTC-19DEC25-80000-P
19DEC25,2025-12-19,82000.0,C,56.65,0.09893547,90232.89,0.0,0.0975,0.1005,,,0.0,BTC-19DEC25-82000-C
19DEC25,2025-12-19,82000.0,P,56.65,0.00769884,90232.89,740.9,0.0075,0.008,,,40.0,BTC-19DEC25-82000-P
19DEC25,2025-12-19,83000.0,C,55.68,0.08951713,90232.89,2.2,0.088,0.091,,,0.0,BTC-19DEC25-83000-C
19DEC25,2025-12-19,83000.0,P,55.68,0.00936298,90232.89,898.0,0.009,0.0095,,,744.3,BTC-19DEC25-83000-P
19DEC25,2025-12-19,84000.0,C,54.33,0.08021016,90238.05,119.5,0.0785,0.0815,,,0.5,BTC-19DEC25-84000-C
19DEC25,2025-12-19,84000.0,P,54.33,0.01113849,90232.89,288.3,0.0105,0.0115,,,20.2,BTC-19DEC25-84000-P
19DEC25,2025-12-19,85000.0,C,53.25,0.07135846,90232.89,6.9,0.07,0.0725,,,0.0,BTC-19DEC25-85000-C
19DEC25,2025-12-19,85000.0,P,53.25,0.01336927,90232.89,748.3,0.013,0.014,,,10.6,BTC-19DEC25-85000-P
19DEC25,2025-12-19,86000.0,C,52.49,0.06306577,90232.89,47.9,0.062,0.064,,,0.0,BTC-19DEC25-86000-C
19DEC25,2025-12-19,86000.0,P,52.49,0.01616339,90238.05,503.3,0.0155,0.0165,,,171.1,BTC-19DEC25-86000-P
19DEC25,2025-12-19,87000.0,C,51.54,0.05510413,90232.89,261.1,0.054,0.056,,,2.7,BTC-19DEC25-87000-C
19DEC25,2025-12-19,87000.0,P,51.54,0.0192799,90232.89,584.8,0.019,0.0195,,,47.7,BTC-19DEC25-87000-P
19DEC25,2025-12-19,88000.0,C,50.88,0.04779829,90238.05,926.5,0.047,0.0485,,,75.9,BTC-19DEC25-88000-C
19DEC25,2025-12-19,88000.0,P,50.88,0.02305654,90232.89,292.7,0.0225,0.0235,,,80.9,BTC-19DEC25-88000-P
