expiry_str,expiry_date,strike,type,mark_iv,mark_price,underlying_price,open_interest,bid_price,ask_price,best_bid_price,best_ask_price,volume,instrument_name,contractSymbol,underlying_ticker
2025-12-16,2025-12-16,6340.0,P,0.3544986425781249,0.05,6816.509765625,97.0,0.05,0.15,0.05,0.15,74.0,^SPX-2025-12-16-6340.0-P,SPXW251216P06340000,^SPX
2025-12-16,2025-12-16,6350.0,C,0.5356186575317383,514.75,6816.509765625,4.0,468.2,472.5,468.2,472.5,,^SPX-2025-12-16-6350.0-C,SPXW251216C06350000,^SPX
2025-12-16,2025-12-16,6350.0,P,0.34766277343749996,0.05,6816.509765625,1876.0,0.05,0.15,0.05,0.15,103.0,^SPX-2025-12-16-6350.0-P,SPXW251216P06350000,^SPX
2025-12-16,2025-12-16,6360.0,P,0.340826904296875,0.15,6816.509765625,100.0,0.05,0.15,0.05,0.15,9.0,^SPX-2025-12-16-6360.0-P,SPXW251216P06360000,^SPX
2025-12-16,2025-12-16,6370.0,C,0.5159960510253907,460.83,6816.509765625,2.0,448.4,452.3,448.4,452.3,,^SPX-2025-12-16-6370.0-C,SPXW251216C06370000,^SPX
2025-12-16,2025-12-16,6370.0,P,0.33350275878906255,0.2,6816.509765625,167.0,0.05,0.15,0.05,0.15,4.0,^SPX-2025-12-16-6370.0-P,SPXW251216P06370000,^SPX
2025-12-16,2025-12-16,6375.0,C,0.5110522528076171,309.3,6816.509765625,3.0,443.4,447.3,443.4,447.3,4.0,^SPX-2025-12-16-6375.0-C,SPXW251216C06375000,^SPX
2025-12-16,2025-12-16,6375.0,P,0.33008482421874996,0.1,6816.509765625,116.0,0.05,0.15,0.05,0.15,262.0,^SPX-2025-12-16-6375.0-P,SPXW251216P06375000,^SPX
2025-12-16,2025-12-16,6380.0,P,0.31445998046874996,0.07,6816.509765625,237.0,0.05,0.1,0.05,0.1,83.0,^SPX-2025-12-16-6380.0-P,SPXW251216P06380000,^SPX
2025-12-16,2025-12-16,6390.0,P,0.3198310205078124,0.1,6816.509765625,219.0,0.05,0.15,0.05,0.15,36.0,^SPX-2025-12-16-6390.0-P,SPXW251216P06390000,^SPX
2025-12-16,2025-12-16,6400.0,C,0.527470545654297,458.22,6816.509765625,1.0,418.3,422.3,418.3,422.3,,^SPX-2025-12-16-6400.0-C,SPXW251216C06400000,^SPX
2025-12-16,2025-12-16,6400.0,P,0.3007882421875,0.1,6816.509765625,745.0,0.05,0.1,0.05,0.1,1182.0,^SPX-2025-12-16-6400.0-P,SPXW251216P06400000,^SPX
2025-12-16,2025-12-16,6410.0,P,0.305671005859375,0.1,6816.509765625,49.0,0.05,0.15,0.05,0.15,1002.0,^SPX-2025-12-16-6410.0-P,SPXW251216P06410000,^SPX
2025-12-16,2025-12-16,6420.0,C,0.5083667327880859,440.27,6816.509765625,1.0,398.3,402.4,398.3,402.4,,^SPX-2025-12-16-6420.0-C,SPXW251216C06420000,^SPX
2025-12-16,2025-12-16,6420.0,P,0.29883513671874995,0.25,6816.509765625,49.0,0.05,0.15,0.05,0.15,48.0,^SPX-2025-12-16-6420.0-P,SPXW251216P06420000,^SPX
2025-12-16,2025-12-16,6425.0,C,0.5030872445678712,319.2,6816.509765625,4.0,393.5,397.4,393.5,397.4,3.0,^SPX-2025-12-16-6425.0-C,SPXW251216C06425000,^SPX
2025-12-16,2025-12-16,6425.0,P,0.2954172021484375,0.1,6816.509765625,140.0,0.05,0.15,0.05,0.15,102.0,^SPX-2025-12-16-6425.0-P,SPXW251216P06425000,^SPX
2025-12-16,2025-12-16,6430.0,C,0.4978382736206055,465.47,6816.509765625,8.0,388.5,392.4,388.5,392.4,4.0,^SPX-2025-12-16-6430.0-C,SPXW251216C06430000,^SPX
2025-12-16,2025-12-16,6430.0,P,0.29175512939453113,0.1,6816.509765625,51.0,0.05,0.15,0.05,0.15,24.0,^SPX-2025-12-16-6430.0-P,SPXW251216P06430000,^SPX
2025-12-16,2025-12-16,6435.0,P,0.2880930566406249,0.1,6816.509765625,13.0,0.05,0.15,0.05,0.15,12.0,^SPX-2025-12-16-6435.0-P,SPXW251216P06435000,^SPX
2025-12-16,2025-12-16,6440.0,C,0.4872792971801758,420.42,6816.509765625,2.0,378.5,382.4,378.5,382.4,2.0,^SPX-2025-12-16-6440.0-C,SPXW251216C06440000,^SPX
2025-12-16,2025-12-16,6440.0,P,0.2846751220703124,0.1,6816.509765625,467.0,0.05,0.15,0.05,0.15,62.0,^SPX-2025-12-16-6440.0-P,SPXW251216P06440000,^SPX
2025-12-16,2025-12-16,6445.0,P,0.28125718749999995,0.1,6816.509765625,61.0,0.05,0.15,0.05,0.15,2.0,^SPX-2025-12-16-6445.0-P,SPXW251216P06445000,^SPX
2025-12-16,2025-12-16,6450.0,C,0.47672032073974613,408.94,6816.509765625,7.0,368.5,372.4,368.5,372.4,1.0,^SPX-2025-12-16-6450.0-C,SPXW251216C06450000,^SPX
2025-12-16,2025-12-16,6450.0,P,0.2778392529296875,0.1,6816.509765625,354.0,0.05,0.15,0.05,0.15,412.0,^SPX-2025-12-16-6450.0-P,SPXW251216P06450000,^SPX
2025-12-16,2025-12-16,6455.0,P,0.27417718017578124,0.1,6816.509765625,60.0,0.05,0.15,0.05,0.15,47.0,^SPX-2025-12-16-6455.0-P,SPXW251216P06455000,^SPX
